_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7d39,d006c97e-81b3-4018-b506-d30bd6608986,PS110-000006,ПС 110 кВ Тимлюйская,ПС 110 кВ Тимлюйская,Substation
65a2361a96b9132bd04d7d3a,D11690C0-76B6-41E1-A238-1F994B149821,PS110-000121,ПС 110 кВ Гидролизная,ПС 110 кВ Гидролизная,Substation
65a2361a96b9132bd04d7d3b,d19100c0-cfa5-4fdb-b07d-01a520a25b3a,PS110-000769,ПС 110 кВ Казаново,ПС 110 кВ Казаново,Substation
65a2361a96b9132bd04d7d3c,d1a2476e-b90e-4151-8eed-49efb489cda6,PS110-000184,ПС 110 кВ Новониколаевская,ПС 110 кВ Новониколаевская,Substation
65a2361a96b9132bd04d7d3d,d25c383d-582f-438f-8496-91f5818a944e,PS110-001004,ПС 110 кВ Речпорт,ПС 110 кВ Речпорт,Substation
65a2361a96b9132bd04d7d3e,d261280f-1f00-4a6e-bbba-d3d4a943cc74,PS110-000531,ПС 110 кВ Промышленная сельская,ПС 110 кВ Промышленная сельская,Substation
65a2361a96b9132bd04d7d3f,d332290a-cca6-4242-9da0-f95721c49949,PS110-000103,ПС 110 кВ Карак,ПС 110 кВ Карак,Substation
65a2361a96b9132bd04d7d40,d43a892e-eec9-4ecd-a6c1-5ec926c0f9c1,PS110-001183,ПС 110 кВ Ботаническая,ПС 110 кВ Ботаническая,Substation
65a2361a96b9132bd04d7d41,d48ba606-ad38-4e48-b6e0-3be79f65eb06,PS110-000507,ПС 110 кВ Промузел,ПС 110 кВ Промузел,Substation
65a2361a96b9132bd04d7d42,d4c5d93d-732a-4ea7-9858-b4c6093bb500,PS110-000501,ПС 110 кВ Юргинская,ПС 110 кВ Юргинская,Substation
65a2361a96b9132bd04d7d43,d56aa4a9-6e8b-4fa4-a9dc-caaa41021c15,PS110-000188,ПС 110 кВ Хлопуновская,ПС 110 кВ Хлопуновская,Substation
65a2361a96b9132bd04d7d44,d58dc721-fbea-4c04-9b90-af2b0c3f11b3,PS110-000301,ПС 110 кВ Змеиногорская,ПС 110 кВ Змеиногорская,Substation
65a2361a96b9132bd04d7d45,d5a37ff9-8150-4ec2-b731-1906690acf7c,PS110-000542,ПС 110 кВ Бызовская,ПС 110 кВ Бызовская,Substation
65a2361a96b9132bd04d7d46,d5ca896b-fb76-462f-9278-3170b07e365a,PS110-001021,ПС 110 кВ Епишино,ПС 110 кВ Епишино,Substation
65a2361a96b9132bd04d7d47,d67574b2-9062-4311-a5e0-41ab899a740c,PS110-000065,ПС 110 кВ Энергетик,ПС 110 КВ ЭНЕРГЕТИК,Substation
65a2361a96b9132bd04d7d48,d85b42a8-2f7a-4c16-a577-d68a54a15ec3,PS110-000330,ПС 110 кВ Профсоюзная,ПС 110 кВ Профсоюзная,Substation
65a2361a96b9132bd04d7d49,d85f6879-9a22-430f-9f5b-3405e0ecad0e,PS110-000391,ПС 110 кВ Судостроительная,ПС 110 кВ Судостроительная,Substation
65a2361a96b9132bd04d7d4a,d88bd474-02ed-4d5b-9fc2-1119304a1dad,PS110-001379,ПС 110 кВ Новая Еруда,ПС 110 кВ Новая Еруда,Substation
65a2361a96b9132bd04d7d4b,d90d580f-a640-4b1c-8901-1bbdce3314a5,PS110-000034,ПС 110 кВ Селенга,ПС 110 кВ Селенга,Substation
65a2361a96b9132bd04d7d4c,d96b3954-50f3-40e9-98bd-b39f5bd2e3e0,PS110-000379,ПС 110 кВ Мясокомбинат,ПС 110 кВ Мясокомбинат,Substation
65a2361a96b9132bd04d7d4d,da839f8a-e98e-4170-b269-ac0d8ebb86a9,PS110-000363,ПС 110 кВ Анаш,ПС 110 кВ Анаш,Substation
65a2361a96b9132bd04d7d4e,da96eb1d-eb58-49da-b44c-e5c3f2a13827,PS110-000773,ПС 110 кВ Аксеново-Зилово,ПС 110 кВ Аксеново-Зилово,Substation
65a2361a96b9132bd04d7d4f,dab35e1b-0717-49fc-b771-12ecef467868,PS110-001197,ПС 110 кВ Распадская-4,ПС 110 кВ Распадская-4,Substation
65a2361a96b9132bd04d7d50,dacea517-ee23-42f1-b20a-c52e730d767c,PS110-000074,ПС 110 кВ Холбольджино,ПС 110 кВ Холбольджино,Substation
65a2361a96b9132bd04d7d51,db399f0b-c6ae-4fc6-8ee6-449e297f56d8,PS110-000364,ПС 110 кВ Курганы,ПС 110 кВ Курганы,Substation
65a2361a96b9132bd04d7d52,dcb62104-f07b-4ae9-aa52-e57b5460eb18,PS110-000058,ПС 110 кВ Верхняя Березовка,ПС 110 КВ ВЕРХНЯЯ БЕРЕЗОВКА,Substation
65a2361a96b9132bd04d7d53,dd2ef203-1af8-4abe-8f4b-eab18f15008a,PS110-001203,ПС 110 кВ Забайкальск тяговая,ПС 110 кВ Забайкальск тяговая,Substation
65a2361a96b9132bd04d7d54,dd6a821e-9258-43fb-85ea-6cbde89c687c,PS110-000461,ПС 110 кВ Уяр городская,ПС 110 кВ Уяр городская,Substation
65a2361a96b9132bd04d7d55,ddffa8cf-456b-4a5a-94b7-ba0bdfb896a3,PS110-000017,ПС 110 кВ Новоенисейский завод ДВП,ПС 110 кВ Новоенисейский завод ДВП,Substation
65a2361a96b9132bd04d7d56,de4c2f0c-b5c1-4850-9d9d-8914036629d5,PS110-000797,ПС 110 кВ Центральная,ПС 110 кВ Центральная,Substation
65a2361a96b9132bd04d7d57,de99cef5-ffba-47ff-89a6-3aba9576cafc,PS110-000280,ПС 110 кВ Павловская,ПС 110 кВ Павловская,Substation
65a2361a96b9132bd04d7d58,ded94afb-a8c0-43d6-bf79-39a5c5da508d,PS110-000227,ПС 110 кВ Крутихинская,ПС 110 кВ Крутихинская,Substation
65a2361a96b9132bd04d7d59,dee31aea-34dd-41de-92bd-3ce18dae408a,PS110-000024,ПС 110 кВ Усть-Канская,ПС 110 кВ Усть-Канская,Substation
65a2361a96b9132bd04d7d5a,dee42eaa-fa9d-4751-9f91-8332ed45fe2f,PS110-000258,ПС 110 кВ Тракторная,ПС 110 кВ Тракторная,Substation
65a2361a96b9132bd04d7d5b,e0a39727-9acc-4285-9959-a921cee1fb54,PS110-001398,ПС 110 кВ Аквапарк,ПС 110кВ Аквапарк,Substation
65a2361a96b9132bd04d7d5c,e0acd6c6-13ca-4653-8e0c-88abe7b59c6d,PS110-000005,ПС 110 кВ Первомайская,ПС 110 кВ Первомайская,Substation
65a2361a96b9132bd04d7d5d,E1D1981D-EA2D-4D83-A85B-E30488DD1D5D,PS110-001380,ПС 110 кВ Джилинда,ПС 110 кВ Джилинда,Substation
65a2361a96b9132bd04d7d5e,e1ee0b34-8223-41e5-9db8-05d2e676bba8,PS110-000825,ПС 110 кВ ГПП-4,ПС 110 кВ ГПП-4,Substation
65a2361a96b9132bd04d7d5f,e398328c-938a-4d4e-91d1-caa41a01aae6,PS110-001022,ПС 110 кВ Брянка,ПС 110 кВ Брянка,Substation
65a2361a96b9132bd04d7d60,e3b76869-66d5-48ae-a342-ce0da49ca3e1,PS110-000035,ПС 110 кВ Могойто,ПС 110 кВ Могойто,Substation
